COVENTRY EAGLE, 
HARLEY-DAVIDSON, FLHTC 1340 ELECTRA GLIDE CLASSIC (REDUCED EFFECT)
HARLEY-DAVIDSON, FLHTC 1340 (WITH SIDECAR)
HARLEY-DAVIDSON, FLHTC 1340 (WITH SIDECAR) (REDUCED EFFECT)
HARLEY-DAVIDSON, FLHTC C 1340 EIECTRA GLIDE CHROM
HARLEY-DAVIDSON,  FLHTC ELECTRA GLIDE CLASSIC
HARLEY-DAVIDSON, FLHTC ELECTRA GLIDE CLASSIC
HARLEY-DAVIDSON, FLHTCI ELECTRA GLIDE CLASSIC
HARLEY-DAVIDSON, FLHTCUI ELECTRA GLIDE ULTRA CLASSIC
HARLEY-DAVIDSON, FLHTCUI ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUI UTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUSE4 CVO ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUSE5 CVO ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUSE6 CVO ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUSE7 CVO ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUSE CVO ULTRA CLASSIC ELECTRA GLIDE BLACK
HARLEY-DAVIDSON, FLHTCUSE SCREAMIN´ EAGLE ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCUTG TRI GLIDE ULTRA CLASSIC
HARLEY-DAVIDSON,  FLHTCU  ULTRA CLASSIC ELECTRA GILDE
HARLEY-DAVIDSON, FLHTCU ULTRA CLASSIC ELECTRA GLIDE
HARLEY-DAVIDSON, FLHTCU ULTRA CLASSIC ELECTRA GLIDE FIREFIGHTER
HARLEY-DAVIDSON, FLHTCU ULTRA CLASSIC ELECTRA GLIDE PEACE OFFICER
HARLEY-DAVIDSON,  FLHT ELECTRA GLIDE STANDARD
HARLEY-DAVIDSON, FLHT ELECTRA GLIDE STANDARD
HARLEY-DAVIDSON, FLHTI ELECTRA GLIDE STANDARD
HARLEY-DAVIDSON, FLHTK ELECTRA GLIDE ULTRA LIMITED
HARLEY-DAVIDSON, FLHXI STREET GLIDE
HARLEY-DAVIDSON, FLHXSE2 CVO STREET GLIDE
HARLEY-DAVIDSON, FLHXSE3 CVO STREET GLIDE
HARLEY-DAVIDSON, FLHXSE CVO STREET GLIDE
HARLEY-DAVIDSON,  FLHX  STREET GLIDE
HARLEY-DAVIDSON, FLHX STREET GLIDE
HARLEY-DAVIDSON, FLHXX STREET GLIDE TRIKE
HARLEY-DAVIDSON, FLHXXX STREET GLIDE TRIKE
HARLEY-DAVIDSON, FL HYDRA GLIDE
MBK, FLIPPER
RHINO, FLM-001 HUNTER S 
RHINO, FLM-003 HUNTER S
RHINO, FLM-004 HUNTER SOFTAIL
RHINO, FLM-005 HUNTER SOFTAIL
KREIDLER, FLORETT 2.0 RS 50
KREIDLER, FLORETT 50 CITY
KREIDLER, FLORETT RMC-E 50 RACE
KREIDLER, FLORETT RMC-G 125 RACE
KREIDLER, FLORETT RMC-G 50 RACE
KREIDLER, FLORETT RS
KREIDLER, FLORETT RS 50 DD
KREIDLER, FLORY 50 CLASSIC
HARLEY-DAVIDSON, FLST 1340 HERITAGE SOFTAIL
HARLEY-DAVIDSON, FLST 1340 HERITAGE SOFTAIL (REDUCED EFFECT)
HARLEY-DAVIDSON, FLSTC 1340 HERITAGE SOFTAIL CLASSIC
HARLEY-DAVIDSON, FLSTC 1340 HERITAGE SOFTAIL CLASSIC (REDUCED EFFECT)
HARLEY-DAVIDSON, FLSTC HERITAGE SOFTAIL CLASSIC
HARLEY-DAVIDSON, FLSTC HERITAGE SOFTAIL CLASSIC FIREFIGHTER
HARLEY-DAVIDSON, FLSTC HERITAGE SOFTAIL CLASSIC PEACE OFFICER
HARLEY-DAVIDSON, FLSTCI HERITAGE SOFTAIL CLASSIC
HARLEY-DAVIDSON, FLSTC SOFTAIL
HARLEY-DAVIDSON, FLSTFB FAT BOY LO
HARLEY-DAVIDSON, FLSTFB FAT BOY SPECIAL
HARLEY-DAVIDSON, FLSTFB SOFTAIL FAT BOY LO
HARLEY-DAVIDSON, FLSTFB SPORTSTER FAT BOY SPECIAL
HARLEY-DAVIDSON, FLSTF FAT BOY
HARLEY-DAVIDSON, FLSTF FAT BOY FIREFIGHTER
HARLEY-DAVIDSON, FLSTF FAT BOY PEACE OFFICER
HARLEY-DAVIDSON, FLSTFI FAT BOY
HARLEY-DAVIDSON, FLSTFI SOFTAIL FAT BOY
HARLEY-DAVIDSON, FLSTFSE SCREAMIN EAGLE FAT BOY
HARLEY-DAVIDSON,  FLSTF  SOFTAIL FAT BOY
HARLEY-DAVIDSON, FLSTF SOFTAIL FAT BOY
HARLEY-DAVIDSON, FLST HERITAGE SOFTAIL
HARLEY-DAVIDSON, FLSTI HERITAGE SOFTAIL
HARLEY-DAVIDSON, FLSTNI SOFTAIL DELUXE
HARLEY-DAVIDSON,  FLSTN  SOFTAIL DELUXE
HARLEY-DAVIDSON, FLSTN SOFTAIL DELUXE
HARLEY-DAVIDSON, FLSTSB SOFTAIL CROSS BONES
HARLEY-DAVIDSON, FLSTSCI SOFTAIL SPRINGER CLASSIC
HARLEY-DAVIDSON,  FLSTSC  SOFTAIL SPRINGER CLASSIC
HARLEY-DAVIDSON, FLSTSC SOFTAIL SPRINGER CLASSIC
HARLEY-DAVIDSON, FLSTSE3 CVO SOFTAIL CONVERTIBLE
HARLEY-DAVIDSON, FLSTSE CVO SOFTAIL CONVERTIBLE
HARLEY-DAVIDSON, FLSTS HERITAGE SPRINGER
HARLEY-DAVIDSON, FLT 1340 TOUR GLIDE
HARLEY-DAVIDSON, FLTC 1340 TOUR GLIDE CLASSIC
HARLEY-DAVIDSON, FLTC 1340 TOUR GLIDE CLASSIC (REDUCED EFFECT)
HARLEY-DAVIDSON, FLTC 1340 (WITH SIDECAR)
HARLEY-DAVIDSON, FLTRI ROAD GLIDE
HARLEY-DAVIDSON,  FLTR  ROAD GLIDE
HARLEY-DAVIDSON, FLTR ROAD GLIDE
HARLEY-DAVIDSON, FLTRSE3 CVO ROAD GLIDE
HARLEY-DAVIDSON, FLTRU ROAD GLIDE ULTRA
HARLEY-DAVIDSON, FLTRUSE CVO ROAD GLIDE ULTRA
HARLEY-DAVIDSON, FLTRX ROAD GLIDE CUSTOM
PIAGGIO, FLY 100
PIAGGIO, FLY 125
PIAGGIO, FLY 150
PIAGGIO, FLY 150 3V
PIAGGIO, FLY 50
PIAGGIO, FLY 50 2T
PIAGGIO, FLY 50 4T
PIAGGIO, FLY 50 4V
DIRICO, FLYER
COVENTRY EAGLE, FLYING 350
VON DUTCH, FLYING DUTCHMAN
MAHINDRA, FLYTE
LEXMOTO, FM 50
LEXMOTO, FMR 125
LEXMOTO, FMR 50
LEXMOTO, FMS 125
LEXMOTO, FMX 125
HONDA, FMX 650
KEEWAY, FOCUS125
KEEWAY, FOCUS 50
HONDA, FORESIGHT
HONDA, FORESIGHT 250
ROKON,  FOR HUNTERS
ITALJET, FORMULA 125
ITALJET, FORMULA 50 AIR COOLED
ITALJET, FORMULA 50 LIQUID COOLED
LAVERDA, FORMULA 650
CPI, FORMULA R
CPI, FORMULA R 50
HONDA, FORZA
HONDA, FORZA 125                                              
HONDA, FORZA 125                                                     
HONDA, FORZA 300
HONDA, FORZA ABS
HONDA, FORZA EX
HONDA, FORZA-EX
HONDA, FORZA SI
HONDA, FORZA X
HONDA, FORZA-X
HONDA, FORZA Z
HONDA, FORZA Z ABS
PIERCE, FOUR 
INDIAN, FOUR POLICE SPECIAL
HONDA, FOURTRAX FOREMAN 4X4
HONDA, FOURTRAX FOREMAN RUBICON
HONDA, FOURTRAX RANCHER
HONDA, FOURTRAX RECON
HONDA, FOURTRAX RINCON GPSCAPE
LEM, FOUR X
LEM, FOUR X MOTARD
LEM, FOUR X PRO-R
LEM, FOUR X-R
KRC, FOX
ADLY, FOX 50 (2T)
ADLY, FOX 50 (4T)
HEADBANGER, FOXY LADY
HUSABERG, FR 600 E
TAURIS, FRECCIA 125 4T
PIAGGIO, FREE 50
LML, FREEDOM DX
LML, FREEDOM PRIMA 110
LML, FREEDOM PRIMA 125
LML, FREEDOM TOPPER
KTM, FREERIDE 250 R
KTM, FREERIDE 350
KTM, FREERIDE E
KTM, FREERIDE E-SM
KTM, FREERIDE E-SX
KTM, FREERIDE E-XC
KUBERG, FREERIDER
KUBERG, FREE-RIDER
HARLEY-DAVIDSON, FREEWHEELER
SONIK, FREE WIND
DAELIM, FREEWING 125
CLIPIC, FROG
CLIPIC, FROG 125
YAMAHA, FS 1 DX FIZZY
HUSABERG, FS 400 C
HUSABERG, FS 400 E
HUSQVARNA, FS 450
HUSABERG, FS 450 C
HUSABERG, FS 450E
HUSABERG, FS 450 E
HUSABERG, FS550E
HUSABERG, FS 570
HUSABERG, FS650C
HUSABERG, FS 650C
HUSABERG, FS 650 C
HUSABERG, FS650E
HUSABERG, FS 650E
HUSABERG, FS 650 E
HUSABERG, FS 650 E SUPERMOTO
HONDA, FSC 600 S
TM RACING, FT 250 FLAT TRACK
CCM, FT35RS LIMITED EDITION
CCM, FT35S
CCM, FT35-S
HONDA, FT 500
TM RACING, FT 530FI FLAT TRACK
CCM, FT710
CCM, FT 710
HONDA, FTR
HONDA, FTR 230
TAURIS, FUEGO 50 2T
TAURIS, FUEGO II 50 2T
MZ, FUN 300
BOOM TRIKES, FUN 500 AUTOMATIC
BOOM TRIKES, FUN 500 BASIC
ADLY, FUN CRUISER (I)
ADLY, FUN CRUISER (II)
TOMOS, FUNTASTIC 25
GILERA, FUOCO 500
GILERA, FUOCO 500IE
GILERA, FUOCO CENTENARIO
GHEZZI-BRIAN, FURIA
MOTORHISPANIA, FURIA 49 CROSS
MOTORHISPANIA, FURIA 49 SUPERMOTARD
MOTORHISPANIA, FURIA CROSS
MOTORHISPANIA, FURIA MAX
MOTORHISPANIA, FURIA MAX 49 SM
MOTORHISPANIA, FURIA MAX 50 SM
MOTORHISPANIA, FURIA MAX 50 SUPERMOTARD
MOTORHISPANIA, FURIA MAX ENDURO
MOTORHISPANIA, FURIA MAX SUPER MOTARD
GHEZZI-BRIAN, FURIA OTTO
GHEZZI-BRIAN, FURIA S
MOTORHISPANIA, FURIA SM
MOTORHISPANIA, FURIA SUPER MOTARD
GHEZZI-BRIAN, FURIA TITANUM
HONDA, FURY
BINTELLI, FURY 150
BSA, FURY 350
HONDA, FURY ABS
E-TROPOLIS, FUTURE
TIGER, FUTURE 110
SACHS, FUTURO 125
GIANTCO, FVISION 125
ZERO, FX
HARLEY-DAVIDSON, FX 1200
MOTORS EUROPE, FX125X
MOTORS EUROPE, FX150
MOTORS EUROPE, FX200
MOTORS EUROPE, FX250
ORION, FX 250
JOHNNY PAG, FX-3
HUSQVARNA, FX 350
KAWASAKI, FX 400 R
HUSABERG, FX 450
HUSABERG, FX 470 E
FX BIKES, FX5 GOLD
FX BIKES, FX5 STEEL
REWACO, FX6 1.4
REWACO, FX6 1.6
SUZUKI, FX650
HUSABERG, FX 650 E
HARLEY-DAVIDSON, FXB 1340 STURGIS
HARLEY-DAVIDSON, FXCSTS SOFTAIL SCREAMER
HARLEY-DAVIDSON, FXCWC ROCKER C
HARLEY-DAVIDSON, FXCWC SOFTAIL ROCKER C
HARLEY-DAVIDSON, FXCW SOFTAIL ROCKER
FOSTI, FXD 125-3
FOSTI, FXD 125 D
HARLEY-DAVIDSON,  FXDB  DYNA STREET BOB
HARLEY-DAVIDSON, FXDB DYNA STREETBOB
HARLEY-DAVIDSON, FXDB DYNA STREET BOB
HARLEY-DAVIDSON, FXDBI STREET BOB
HARLEY-DAVIDSON, FXDB STREET BOB
HARLEY-DAVIDSON,  FXDC  DYNA SUPER GLIDE CUSTOM
HARLEY-DAVIDSON, FXDC DYNA SUPER GLIDE CUSTOM
HARLEY-DAVIDSON, FXDCI DYNA SUPER GLIDE CUSTOM
HARLEY-DAVIDSON,  FXD  DYNA SUPERGLIDE
HARLEY-DAVIDSON, FXD DYNA SUPER GLIDE
HARLEY-DAVIDSON, FXDF DYNA FAT BOB
HARLEY-DAVIDSON, FXDF FAT BOB
HARLEY-DAVIDSON, FXDFSE CVO DYNA FAT BOB
HARLEY-DAVIDSON, FXDI35 35TH ANNIVERSARY DYNA SUPER GLIDE
HARLEY-DAVIDSON, FXDI DYNA SUPER GLIDE
HARLEY-DAVIDSON,  FXDL  DYNA LOW RIDER
HARLEY-DAVIDSON, FXDL DYNA LOW RIDER
HARLEY-DAVIDSON, FXDLI DYNA GLIDE LOW RIDER
HARLEY-DAVIDSON, FXDLI DYNA LOW RIDER
HARLEY-DAVIDSON, FXDSE CVO SCREAMING EAGLE DYNA
HARLEY-DAVIDSON,  FXDWG  DYNA WIDE GLIDE
HARLEY-DAVIDSON, FXDWG DYNA WIDE GLIDE
HARLEY-DAVIDSON, FXDWGI DYNA WIDE GLIDE
HARLEY-DAVIDSON, FXDX DYNA SUPER GLIDE SPORT
HARLEY-DAVIDSON, FXDXI DYNA SUPER GLIDE SPORT
HARLEY-DAVIDSON, FXDXT DYNA SUPER GLIDE T-SPORT
HARLEY-DAVIDSON, FXE 1200 SUPER GLIDE
HARLEY-DAVIDSON, FXE 1340 SUPER GLIDE
HARLEY-DAVIDSON, FXE/F 1200 FAT BOB
HARLEY-DAVIDSON, FXE/F 1340 FAT BOB
HARLEY-DAVIDSON, FXEF 1340 FAT BOB
HARLEY-DAVIDSON, FXLR 1340 LOW RIDER CUSTOM
HARLEY-DAVIDSON, FXLR 1340 LOW RIDER CUSTOM (REDUCED EFFECT)
CLEVELAND, FXR
HARLEY-DAVIDSON, FXR 1340 SUPER GLIDE
HARLEY-DAVIDSON, FXR 1340 SUPER GLIDE II
SUZUKI, FXR 150
HARLEY-DAVIDSON, FXRS 1340 LOW GLIDE
HARLEY-DAVIDSON, FXRS 1340 LOW GLIDE CUSTOM
HARLEY-DAVIDSON, FXRS 1340 LOW RIDER
HARLEY-DAVIDSON, FXRS 1340 LOW RIDER CUSTOM
HARLEY-DAVIDSON, FXRS 1340 LOW RIDER (REDUCED EFFECT)
HARLEY-DAVIDSON, FXRS 1340 LOW RIDER SPORT EDITION
HARLEY-DAVIDSON, FXRS 1340 SP LOW RIDER SPECIAL EDITION
HARLEY-DAVIDSON, FXRS 1340 SP LOW RIDER SPECIAL EDITION (REDUCED EFFECT)
HARLEY-DAVIDSON, FXRS 1340 SUPER GLIDE II
HARLEY-DAVIDSON, FXRT 1340 SORT GLIDE
HARLEY-DAVIDSON, FXRT 1340 SPORT GLIDE
HARLEY-DAVIDSON, FXRT 1340 SPORT GLIDE (REDUCED EFFECT)
ZERO, FXS
HARLEY-DAVIDSON, FXS 1200 LOW RIDER
HARLEY-DAVIDSON, FXS 1340 LOW RIDER
HARLEY-DAVIDSON, FXSB 1340 LOW RIDER
HARLEY-DAVIDSON, FXS SOFTAIL BLACKLINE
HARLEY-DAVIDSON, FXST 1340 SOFTAIL
HARLEY-DAVIDSON, FXST 1340 SOFTAIL CUSTOM
HARLEY-DAVIDSON, FXST 1340 SOFTAIL (REDUCED EFFECT)
HARLEY-DAVIDSON, FXSTBI NIGHT TRAIN
HARLEY-DAVIDSON, FXSTBI SOFTAIL NIGHT TRAIN
HARLEY-DAVIDSON, FXSTB NIGHT TRAIN
HARLEY-DAVIDSON,  FXSTB  SOFTAIL NIGHT TRAIN
HARLEY-DAVIDSON, FXSTB SOFTAIL NIGHT TRAIN
HARLEY-DAVIDSON, FXSTC 1340 SOFTAIL CUSTOM
HARLEY-DAVIDSON, FXSTC 1340 SOFTAIL CUSTOM (REDUCED EFFECT)
HARLEY-DAVIDSON,  FXSTC  SOFTAIL CUSTOM
HARLEY-DAVIDSON, FXSTC SOFTAIL CUSTOM
HARLEY-DAVIDSON, FXSTDI SOFTAIL DEUCE
HARLEY-DAVIDSON,  FXSTD  SOFTAIL DEUCE
HARLEY-DAVIDSON, FXSTD SOFTAIL DEUCE
HARLEY-DAVIDSON, FXSTI SOFTAIL STANDARD
HARLEY-DAVIDSON, FXSTSI SOFTAIL SPRINGER
HARLEY-DAVIDSON, FXSTSI SPRINGER SOFTAIL
HARLEY-DAVIDSON,  FXST  SOFTAIL STANDARD
HARLEY-DAVIDSON, FXST SOFTAIL STANDARD
HARLEY-DAVIDSON, FXSTSSE3 CVO SOFTAIL SPRINGER
HARLEY-DAVIDSON, FXSTSSE SCREAMIN´ EAGLE SOFTAIL SPRINGER
HARLEY-DAVIDSON, FXSTS SPRINGER SOFTAIL
HARLEY-DAVIDSON, FXWG
HARLEY-DAVIDSON, FXWG 1340 WIDE GLIDE
CLEVELAND, FXX
ZERO, FX ZF  2.8
ZERO, FX ZF 5.7
SACHS, FYM 400
YAMAHA, FZ-07
YAMAHA, FZ-09
YAMAHA, FZ1
YAMAHA, FZ-10
YAMAHA, FZ 150 N
YAMAHA, FZ16
YAMAHA, FZ16 
YAMAHA, FZ1 ABS
YAMAHA, FZ1 FAZER
YAMAHA, FZ1 FAZER ABS
YAMAHA, FZ1-N
YAMAHA, FZ25
YAMAHA, FZ6
YAMAHA, FZ 6
YAMAHA, FZ6 ABS
YAMAHA, FZ 6 FAZER
YAMAHA, FZ6 FAZER
YAMAHA, FZ6 FAZER ABS
YAMAHA, FZ6 FAZER S2
YAMAHA, FZ6 FAZER S2 ABS
YAMAHA, FZ6N
YAMAHA, FZ6R
YAMAHA, FZ6 S2
YAMAHA, FZ6 S2 ABS
YAMAHA, FZ 750
YAMAHA, FZ 750 GENESIS
YAMAHA, FZ 750 GENESIS (REDUCED EFFECT)
YAMAHA, FZ 750 (REDUCED EFFECT)
YAMAHA, FZ8
YAMAHA, FZ8 ABS
YAMAHA, FZ8-N
YAMAHA, FZ8N ABS
YAMAHA, FZ8 WGP 50TH ANNIVERSARY
YAMAHA, FZ FI
YAMAHA, FZR 1000
YAMAHA, FZR 1000 GENESIS
YAMAHA, FZR 1000 GENESIS (REDUCED EFFECT)
YAMAHA, FZR 1000 (REDUCED EFFECT)
YAMAHA, FZR 250
YAMAHA, FZR 400
YAMAHA, FZR 400 R GENESIS
YAMAHA, FZR 400 RR
YAMAHA, FZR 600
YAMAHA, FZR 600 R
YAMAHA, FZR 600 (REDUCED EFFECT)
YAMAHA, FZR 600 (REDUCED EFFECT #2)
YAMAHA, FZR 750 GENESIS
YAMAHA, FZR 750 GENESIS (REDUCED EFFECT)
YAMAHA, FZR 750 R
YAMAHA, FZR 750 R (REDUCED EFFECT)
YAMAHA, FZS
YAMAHA, FZS 1000 FAZER
YAMAHA, FZS 400 FAZER
YAMAHA, FZS 600 FAZER
YAMAHA, FZS 600 N
YAMAHA, FZS 600 S
YAMAHA, FZS 600 S FAZER
YAMAHA, FZX 700 FAZER
YAMAHA, FZX 750
YAMAHA, FZX 750 FAZER
GIANTCO, G-10 50
MATCHLESS, G-12
GOES, G 125 L CITY
GOES, G 125 M BIG WHE
GOES, G 125 RT RETRO
GOES, G125RT RETRO
MATCHLESS, G2 CSR
BMW, G 310 GS
BMW, G 310 R
MATCHLESS, G3 350
MATCHLESS, G3 CSR 350
KAWASAKI, G3SS
BMW, G 450 X
YAMAHA, G5
MATCHLESS, G50
KAWASAKI, G5 100
GOES, G 55 R SPORT
BMW, G 650 GS
BMW, G 650 GS SERTAO
BMW, G 650 XCHALLENGE
BMW, G650X CHALLENGE
BMW, G 650 XCOUNTRY
BMW, G650X COUNTRY
BMW, G 650 XMOTO
BMW, G650X MOTO
AJS, G6 BIGPORT
MATCHLESS, G 80 E
MATCHLESS, G 80 K
HYOSUNG, GA 125 F
HYOSUNG, GA 125 F CRUISER II
KREIDLER, GALACTICA 2.0 50 DD
KREIDLER, GALACTICA 2.0 50 DD CITY
KREIDLER, GALACTICA 2.0 ELECTRO
KREIDLER, GALACTICA 2.0 RC 50
KREIDLER, GALACTICA 2.0 RS 50 DD
MOTO GUZZI, GALETTO
KEEWAY, GALLOP
VIBGYOR, GALLOP 100
AJP, GALP 50 ENDURO
MOTOWELL, GAMINI 50
GIANTCO, G-APEX 125
CLARKE, GASOLINE TRICYCLE
RUCKER PERFORMANCE, GAUNTLET CHOPPER
ORION, GAZELLE
HONDA, GB 250 CLUBMAN
HONDA,  GB 500 CLUBMAN
HONDA, GB 500 CLUBMAN
HONDA, GB 500 CLUBMAN (REDUCED EFFECT)
GIANTCO, G-BUDDY
SUZUKI, GD110
SUZUKI, GD 110
HYOSUNG, GD250N
HYOSUNG, GD 250 N
HYOSUNG, GD250R
HYOSUNG, GD 250 R
KYMCO, G-DINK 125I
KYMCO, G-DINK 300I
URAL, GEAR UP
URAL, GEAR-UP
URAL, GEAR UP 750
URAL, GEAR-UP 750
URAL, GEAR UP OUTFIT
TITAN, GECKO
TITAN, GECKO RM
TITAN, GECKO RM STRETCH
TITAN, GECKO RUBBER MOUNT STRETCH
SIAMOTO, GECO 125 CUSTOM
SIAMOTO, GECO 250 CUSTOM
SUZUKI, GEMMA
LOHIA, GENIUS
PEUGEOT, GEOPOLIS
PEUGEOT, GEOPOLIS 125
PEUGEOT, GEOPOLIS 125 PREMIUM
PEUGEOT, GEOPOLIS 125 RS
PEUGEOT, GEOPOLIS 250
PEUGEOT, GEOPOLIS 250 EXEC.
PEUGEOT, GEOPOLIS 250 PREMIUM
PEUGEOT, GEOPOLIS 300
PEUGEOT, GEOPOLIS 400
PEUGEOT, GEOPOLIS 400 PREMIUM
PEUGEOT, GEOPOLIS 500 PREMIUM
PEUGEOT, GEOPOLIS RS 125
HYOSUNG, GF 125
HYOSUNG, GF 125 E
HYOSUNG, GF 125 SPEED
LAVERDA, GHOST
DAFIER, GHOST 50
LAVERDA, GHOST 650
LAVERDA, GHOST LEGEND
MOTOWELL, GHOST-R 125
LAVERDA, GHOST STRIKE
YAMAHA, GIGGLE
GOVECS, GIGI
HONDA, GIORNO
SKYTEAM, GIRINO 50
SUZUKI, GIXXER
SUZUKI, GIXXER SF
SUZUKI, GIXXER SF SP
SUZUKI, GIXXER SP
HONDA, GL 1000 GOLD WING
HONDA, GL 1000 K 2 GOLD WING
HONDA, GL 1000 K 3 GOLD WING
HONDA, GL 1000 LTD
HONDA, GL 1000 LTD GOLD WING
HONDA, GL 1100 GOLD WING
HONDA, GL 1100 GOLD WING DE LUXE
HONDA, GL 1200 DX GOLD WING
HONDA, GL 1500-6 GOLD WING
HONDA, GL 1500/6 GOLD WING
HONDA, GL 1500 GOLD WING ASPENCADE
HONDA, GL 1500 GOLD WING SE
HONDA, GL 1500 SE GOLD WING
HONDA, GL 1800 GOLD WING
HONDA, GL1800 GOLD WING
HONDA, GL1800 GOLD WING 
HONDA, GL 1800 GOLD WING ABS
HONDA, GL1800 GOLD WING DELUXE
HONDA, GL1800 LUXURY
HONDA, GL 500 SILVER WING
HONDA, GL 500 SILVER WING (REDUCED EFFECT)
HONDA, GL 650
HONDA, GL 650 (REDUCED EFFECT)
YAMAHA, GLADIATOR
YAMAHA, GLADIATOR TYPE J.A.
SUZUKI, GLADIUS
SUZUKI, GLADIUS 400
SUZUKI, GLADIUS 400 ABS
SUZUKI, GLADIUS 650
SUZUKI, GLADIUS 650 ABS
HERO HONDA, GLAMOUR
HERO HONDA, GLAMOUR 125
HERO HONDA, GLAMOUR 125 PGM-FI
HERO, GLAMOUR FI
HERO HONDA, GLAMOUR PGM - FI
HERO HONDA, GLAMOUR PGM-FI
HERO, GLAMOUR PROGRAMMED-FI
CSR, GLORY
CF MOTO, GLORY 150
PGO, G-MAX 125
PGO, G-MAX 125 EFI
PGO, G-MAX 150
PGO, G-MAX 150 EFI
PGO, G-MAX 220 EFI
PGO, G-MAX 250LQ
PGO, G-MAX 50
MAICO, GME 250
MAICO, GME 500
SUZUKI, GN 125
SUZUKI, GN250
SUZUKI, GN 250
SUZUKI, GN 250 E
SUZUKI, GN 400 L
SUZUKI, GN 400 TD
SUZUKI, GNX 250 E
GOGO MOTO, GO 125-18
GOGO MOTO, GO 125-27
GOGO MOTO, GO 200-D
GOGO MOTO, GO 250-18
GOGO MOTO, GO 50
URAL, GOBI
GOVECS, GO C 1.4
KEEWAY, GOCCIA
KEEWAY, GOCCIA 50
KEEWAY, GOCCIA EGORA LI
KEEWAY, GOCCIA EGORA SL
KEEWAY, GOCCIA E-MILIO
ARIEL, GOLDEN ARROW
BSA, GOLDEN FLASH
LIFAN, GOLDFISH 50
HONDA, GOLD WING
HONDA, GOLD WING AIRBAG
HONDA, GOLD WING  AIRBAG
HONDA, GOLD WING AUDIO COMFORT
HONDA, GOLD WING AUDIO COMFORT NAVI
HONDA, GOLD WING AUDIO - COMFORT - NAVI - ABS
HONDA, GOLD WING AUDIO COMFORT NAVI ABS
HONDA, GOLD WING AUDIO COMFORT NAVI XM
HONDA, GOLD WING AUDIO COMFORT NAVI XM ABS
HONDA, GOLD WING F6B
HONDA, GOLD WING F6B DELUXE
HONDA, GOLD WING F6C
HONDA, GOLDWING GL1100 STANDARD
HONDA, GOLD WING GL1800
HONDA, GOLD WING PREMIUM AUDIO
HONDA, GOLD WING VALKYRIE
HONDA, GOLD WING VALKYRIE ABS
DKW, GOLEM
HONDA, GORILLA
HONDA, GORILLA 50
GOVECS, GO S 1.2
GOVECS, GO S1.3
GOVECS, GO S 2.4
GOVECS, GO! S2.6
GOVECS, GO S 3.4
GOVECS, GO T 1.4
GOVECS, GO T 2.4
GOVECS, GO! T2.6
GOVECS, GO T 3.4
DERBI, GP1
DERBI, GP1 125
DERBI, GP1 125 RACING
SUZUKI, GP 125
DERBI, GP1 250
DERBI, GP1 250 RACING
LAMBRETTA, GP 150
DERBI, GP1 50
DERBI, GP1 50 OPEN
DERBI, GP1 50 RACING
DERBI, GP1 OPEN 50
UM, GP1-R 125
UM, GP1-R 150
UM, GP1R-150
UM, GP1-R 50
DERBI, GP 1 RACING
DERBI, GP1 RACING 50
LONCIN, GP200
LAMBRETTA, GP 200
CCM, GP450
CCM, GP 450 ADVENTURE
CCM, GP450 RS
CCM, GP450 S
GILERA, GP50 POGGIALI
GILERA, GP800
GILERA, GP 800
GILERA, GP 800 CENTENARIO
DERBI, GPR 125
DERBI, GPR 125 4T 4S
DERBI, GPR 125 4T 4V
DERBI, GPR 125 NUDE
DERBI, GPR 125 RACING
DERBI, GPR 50
DERBI, GPR 50 2T
DERBI, GPR 50 NUDE
DERBI, GPR 50 R
DERBI, GPR 50 RACING
DERBI, GPR 50 RACING RACE REPLICA
DERBI, GPR 50 RACING REPLICA
DERBI, GPR 50 RACING REPLICA DI MEGLIO
DERBI, GPR 50 REPLICA MALOSSI
DERBI, GPR 50 R RACE REPLICA
DERBI, GPR 80 CUP
DERBI, GPR NUDE 50
DERBI, GPR RACING 125
DERBI, GPR RACING 50
DERBI, GPR RACING 50 RACE REPLICA
DERBI, GPX1
DERBI, GPX 1
SONIK, GPX 125
SONIK, GPX 150
KAWASAKI, GPX 500 R
KAWASAKI, GPX 600 R
KAWASAKI, GPX 600 R (REDUCED EFFECT)
KAWASAKI, GPX 600 R (REDUCED EFFECT #2)
KAWASAKI, GPX 600 (ZX600C2)
KAWASAKI, GPX 750 R
KAWASAKI, GPZ 1000 RX
KAWASAKI, GPZ 1000 RX (REDUCED EFFECT)
KAWASAKI, GPZ 1100
KAWASAKI, GPZ 1100 ABS
KAWASAKI, GPZ 1100 F 1
KAWASAKI, GPZ 1100 (REDUCED EFFECT)
KAWASAKI, GPZ 250 BELT DRIVE
KAWASAKI, GPZ 305
KAWASAKI, GPZ 305 BELT DRIVE
KAWASAKI, GPZ 305 BELT DRIVE (REDUCED EFFECT)
